"","sampleObjTimeseries.objSampleTimeSeries..i...fcst","sampleObjTimeseries.objSampleTimeSeries..i...lower","sampleObjTimeseries.objSampleTimeSeries..i...upper","sampleObjTimeseries.objSampleTimeSeries..i...CI","V5"
"1",22.1760866758083,21.8329599461178,22.5192134054989,0.343126729690552,22.2664045077
"2",21.9663115677536,21.3522109570348,22.5804121784723,0.614100610718765,22.36421724
"3",21.8344106285193,20.9742606342406,22.6945606227979,0.860149994278656,22.36421724
"4",21.9900801534018,20.8881587336096,23.092001573194,1.10192141979224,22.36421724
"5",22.1186819941101,20.7857254063466,23.4516385818736,1.33295658776351,22.4489882747
"6",22.0472762395584,20.5152451439968,23.57930733512,1.53203109556163,22.3891231714
"7",22.0981113836988,20.3705736157009,23.8256491516967,1.7275377679979,22.4705734152
"8",22.0950366790867,20.1543818664486,24.0356914917248,1.94065481263811,22.5411636265
"9",21.9712362385219,19.8063015083298,24.1361709687141,2.16493473019213,22.735675143
"10",21.9716470846185,19.5832644970794,24.3600296721576,2.38838258753909,22.735675143
"11",22.1765548995491,19.5599918664234,24.7931179326748,2.61656303312569,22.735675143
"12",22.3935787159027,19.548602315129,25.2385551166763,2.84497640077364,22.9042517906
"13",22.5687829640627,19.4954547062446,25.6421112218809,3.07332825781816,22.9170182185
"14",22.6713244909152,19.3689614971466,25.9736874846837,3.30236299376851,22.928082456
"15",22.6647084838596,19.1275683304734,26.2018486372457,3.53714015338613,22.9376714619
"16",22.7388198965916,18.954700360291,26.5229394328922,3.78411953630058,22.9459819336
"17",22.8440254266569,18.809933285104,26.8781175682098,4.03409214155291,22.9459819336
"18",23.0231338516322,18.743493751962,27.3027739513024,4.27964009967023,22.9459819336
"19",23.1825136935684,18.6528624537826,27.7121649333541,4.52965123978575,22.9531843425
"20",23.3219491064034,18.5403374358403,28.1035607769665,4.78161167056306,22.9594264302
"21",23.4342348299733,18.4082408601692,28.4602287997774,5.0259939698041,22.9648362395
"22",23.4668777913894,18.1981681144054,28.7355874683735,5.26870967698405,22.9648362395
"23",23.5405615477873,18.0207853876968,29.0603377078778,5.51977616009048,22.9695247409
"24",23.5778094852062,17.7985311868315,29.357087783581,5.77927829837477,22.9695247409
"25",23.6378418184961,17.5914690568753,29.6842145801169,6.0463727616208,22.9695247409
"26",23.7032984227447,17.3919241720108,30.0146726734787,6.31137425073396,22.9735881088
"27",23.7475617555237,17.1719322735649,30.3231912374826,6.57562948195882,19.9104430276
"28",23.8072299071874,16.9737214757959,30.6407383385789,6.83350843139152,20.3223839572
"29",23.8576687149299,16.7704377322121,30.9448996976477,7.08723098271779,20.6793994296
"30",23.9883796345029,16.6547495378787,31.3220097311271,7.33363009662418,20.988812839
"31",24.133253274074,16.5593594536271,31.7071470945209,7.57389382044691,20.988812839
"32",24.1823175781023,16.3734724993166,31.991162656888,7.80884507878571,20.988812839
"33",24.2066959298115,16.1715511395406,32.2418407200824,8.03514479027089,21.2569711271
"34",24.2227488499079,15.9656094183523,32.4798882814634,8.25713943155555,21.3560416435
"35",24.1998752117344,15.7265043602996,32.6732460631692,8.47337085143478,21.575236091
"36",24.143716096737,15.4619058502583,32.8255263432157,8.68181024647872,21.6318712789
"37",24.1703711178633,15.2822488754265,33.0584933603001,8.8881222424368,21.6809551084
"38",24.2121851417956,15.1167702035036,33.3076000800876,9.095414938292,21.6809551084
"39",24.168936814644,14.8700322917409,33.4678413375472,9.29890452290316,21.6809551084
"40",24.1010929819885,14.6055321859035,33.5966537780734,9.49556079608497,21.7234944273
"41",24.0152656250143,14.3264290157696,33.704102234259,9.68883660924467,21.8936951703
"42",23.8740120588325,13.9977322670952,33.7502918505699,9.87627979173731,21.8936951703
"43",23.7334725360664,13.6824040345889,33.784541037544,10.0510685014776,22.0412024809
"44",23.7102931121843,13.493935006349,33.9266512180196,10.2163581058353,22.1690421501
"45",23.6896040370677,13.3154779419138,34.0637301322216,10.3741260951539,22.1690421501
"46",23.5833697847742,13.0600346611087,34.1067049084397,10.5233351236655,22.1690421501
"47",23.4702343190918,12.8042529738908,34.1362156642928,10.665981345201,22.2798365301
"48",23.3838948497698,12.5774572388287,34.1903324607108,10.8064376109411,22.1091916594
"49",23.2707249241743,12.3279494128023,34.2135004355463,10.942775511372,22.0946327715
"50",23.139094756145,12.0675638029145,34.2106257093754,11.0715309532305,22.0820150686
"51",23.0784039500998,11.8833673289133,34.2734405712863,11.1950366211865,22.0710797262
"52",23.0103930205473,11.6961565148817,34.3246295262128,11.3142365056656,22.0710797262
"53",22.8870470200211,11.4591215697761,34.3149724702662,11.4279254502451,22.0710797262
"54",22.7776272979877,11.241087759084,34.3141668368914,11.5365395389037,22.0710797262
"55",22.6823106814119,11.038917314752,34.3257040480717,11.6433933666599,21.928269096
"56",22.543719171522,10.7955528350297,34.2918855080144,11.7481663364924,21.8044998832
"57",22.3933104733161,10.5444352786259,34.2421856680063,11.8488751946902,21.8044998832
"58",22.3034765613052,10.3575834920281,34.2493696305823,11.9458930692771,21.5638998988
"59",22.2075967335624,10.1667986144429,34.2483948526819,12.0407981191195,21.5638998988
"60",22.0603630866107,9.92773093881447,34.1929952344069,12.1326321477962,21.5638998988
"61",21.9278479084034,9.70681181240844,34.1488840043984,12.221036095995,21.4887132456
"62",21.8303494817026,9.52252435268983,34.1381746107154,12.3078251290128,21.5568848129
"63",21.7217566926432,9.32918425707967,34.1143291282067,12.3925724355635,21.4826335045
"64",21.6072127714289,9.13356871409196,34.0808568287658,12.4736440573369,21.5516157039
