"","objSampleTimeSeries..i...fcst","objSampleTimeSeries..i...lower","objSampleTimeSeries..i...upper","objSampleTimeSeries..i...CI","V5"
"1",1233.86148501869,1092.13287257617,1375.59009746121,141.728612442521,1213.37279163
"2",1284.08168741401,1071.69051487085,1496.47285995718,212.391172543169,1158.18975274
"3",1185.51601532276,923.170505483471,1447.86152516205,262.34550983929,1137.06445238
"4",1086.51453094187,785.548427307569,1387.48063457616,300.966103634296,1010.98919206
"5",1094.68637482091,761.885178296957,1427.48757134486,332.80119652395,968.003966454
"6",1111.67801331677,752.864902728222,1470.49112390532,358.813110588548,1069.65677093
"7",1115.99519192073,734.946700578091,1497.04368326338,381.048491342644,1109.71586814
"8",1165.92601332737,759.188480284807,1572.66354636994,406.737533042567,1154.63375238
"9",1203.19087309666,773.632477795032,1632.7492683983,429.558395301631,1364.5745854
"10",1109.59511887775,659.784501617104,1559.4057361384,449.810617260649,1375.71130735
"11",1055.74520407235,588.082116082266,1523.40829206243,467.663087990081,1211.06313303
"12",1120.23227945294,637.92009540614,1602.54446349973,482.312184046795,1108.2147153
"13",1142.87607036031,649.160073735728,1636.59206698489,493.715996624581,1111.47941992
"14",1141.1209101997,636.782120818206,1645.4596995812,504.338789381495,1060.84216393
"15",1178.16114213245,659.220902849412,1697.10138141548,518.940239283033,1032.81654208
"16",1216.74469862135,684.881728006621,1748.60766923608,531.86297061473,1011.3276698
"17",1104.59036484532,562.075640537421,1647.10508915322,542.514724307898,1254.33731383
"18",1032.06524918343,480.645204749047,1583.48529361781,551.420044434384,1103.70567198
"19",1075.78844723843,516.932029178967,1634.64486529789,558.85641805946,1031.56891572
"20",1114.09008392994,548.184819121269,1679.99534873862,565.905264808674,1189.11706029
"21",1145.80394692702,573.178801882026,1718.42909197201,572.625145044994,1132.52811892
"22",1183.34947606438,599.86866657818,1766.83028555058,583.4808094862,1102.69770306
"23",1195.75271201514,600.976254152597,1790.52916987769,594.776457862546,1246.42467599
"24",1099.65313189099,494.942548200407,1704.36371558158,604.710583690587,1233.26138586
"25",1027.27792405736,413.823793116658,1640.73205499806,613.454130940703,1101.23053441
"26",1062.79351850646,441.767305373209,1683.81973163971,621.026213133252,1056.62646315
"27",1103.88455018574,476.098118846412,1731.67098152506,627.786431339325,1251.77626807
"28",1120.65766748839,486.793054023871,1754.52228095291,633.864613464519,1231.44609899
"29",1159.83797910844,515.92507228465,1803.75088593222,643.912906823786,1203.38661913
"30",1176.4589196353,522.76870210052,1830.14913717008,653.69021753478,1196.70840324
"31",1074.77613895549,413.146833100262,1736.40544481073,661.629305855232,1353.08861614
"32",999.603979998585,330.386748446774,1668.8212115504,669.217231551811,1197.45280066
"33",1039.8165152354,363.950820107925,1715.68221036288,675.865695127477,1133.78576057
"34",1075.52023025801,394.155553075063,1756.88490744095,681.364677182944,1142.94765916
"35",1092.85335625262,406.136836548612,1779.56987595664,686.716519704012,1113.14130461
"36",1134.25857144938,439.605347384439,1828.91179551431,694.653224064938,1115.30913066
"37",1157.50458234209,454.647606585655,1860.36155809852,702.856975756433,1142.57191324
