"","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...fcst","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...lower","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...upper","sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...CI","V5"
"1",19.4007636060958,19.1011447505893,19.7003824616023,0.299618855506474,19.3917544044
"2",19.2955155994381,18.7575603433002,19.833470855576,0.537955256137893,19.4728538171
"3",19.2946806064231,18.5381345176627,20.0512266951835,0.756546088760398,19.4728538171
"4",19.4595529557716,18.4906736742381,20.4284322373051,0.9688792815335,19.4728538171
"5",19.5672011685365,18.3820000362711,20.7524023008018,1.18520113226535,19.6764733082
"6",19.4655038490253,18.0811503250907,20.8498573729598,1.38435352393458,19.8529435338
"7",19.3624726582161,17.7786923885689,20.9462529278634,1.58378026964728,20.0058843959
"8",19.3238563811841,17.5064146918382,21.1412980705301,1.81744168934596,20.1384331431
"9",19.3350789184264,17.2703303988121,21.3998274380406,2.06474851961429,20.253308724
"10",19.3215071675759,17.0235015661243,21.6195127690276,2.29800560145162,20.253308724
"11",19.3259530701134,16.8108652513808,21.841040888846,2.51508781873261,20.253308724
"12",19.4353036910462,16.7098211060279,22.1607862760645,2.72548258501827,20.3528675608
"13",19.5062892474002,16.5803404711943,22.4322380236061,2.92594877620588,20.4391518861
"14",19.544731744112,16.4178163808774,22.6716471073466,3.12691536323461,20.5139316346
"15",19.4308579691374,16.0882073028815,22.7735086353933,3.3426506662559,20.57874075
"16",19.3972452639461,15.8359398108191,22.9585507170732,3.56130545312709,20.63490865
"17",19.4550142546747,15.68563502724,23.2243934821093,3.76937922743464,20.63490865
"18",19.5565603294,15.5838110965139,23.5293095622861,3.97274923288611,20.63490865
"19",19.5975167448088,15.4237356714898,23.7712978181277,4.17378107331897,20.6835874966
"20",19.5882538058855,15.2175203354761,23.9589872762949,4.37073347040941,20.7257758304
"21",19.4404721560664,14.8716048649897,24.0093394471431,4.56886729107671,20.762339053
"22",19.2836870382769,14.5028931493053,24.0644809272485,4.7807938889716,20.762339053
"23",19.281573002454,14.2864060902364,24.2767399146715,4.99516691221757,20.660693846
"24",19.2592550466059,14.0541700447443,24.4643400484674,5.20508500186157,20.660693846
"25",19.2118792548241,13.8029804173067,24.6207780923416,5.40889883751745,20.660693846
"26",19.2212968847396,13.6128503316803,24.8297434377989,5.60844655305929,20.5726013332
"27",19.157684689329,13.3536757396268,24.9616936390313,5.80400894970225,20.4962544887
"28",18.9830333069375,12.9879750863214,24.9780915275536,5.9950582206161,20.4300872236
"29",18.8361349208986,12.6480757788999,25.0241940628974,6.18805914199875,20.3727422604
"30",18.8347227869835,12.4527419328907,25.2167036410764,6.38198085409287,20.4563766257
"31",18.688241820796,12.1172134289721,25.2592702126199,6.57102839182388,20.4563766257
"32",18.6290356562601,11.8685844352461,25.3894868772742,6.76045122101403,20.4563766257
"33",18.708689871228,11.7606524375301,25.6567273049259,6.9480374336979,20.5288597423
"34",18.7803570263108,11.6449976042255,25.9157164483961,7.13535942208527,20.5916784433
"35",18.5760976319036,11.2486316255785,25.9035636382287,7.32746600632508,20.6461213175
"36",18.3936433534938,10.8707019085909,25.9165847983967,7.52294144490292,20.6933051419
"37",18.3853759780373,10.6653700907478,26.1053818653268,7.72000588728951,20.7341977896
"38",18.4268163387467,10.5115828823712,26.3420497951222,7.91523345637546,20.7341977896
"39",18.4438177629,10.3350348899193,26.5526006358807,8.10878287298067,20.7341977896
"40",18.5032896299623,10.210527276109,26.7960519838156,8.2927623538533,20.7696380843
"41",18.4508758390041,9.97822161371315,26.923530064295,8.47265422529095,20.8003530064
"42",18.3221659720958,9.66963466906224,26.9746972751293,8.65253130303352,20.8003530064
"43",18.2877455630909,9.4519664053836,27.1235247207981,8.83577915770727,18.0269726056
"44",18.3943670945182,9.37515374962375,27.4135804394127,9.01921334489448,15.6233762582
"45",18.4627090116608,9.26658558550771,27.6588324378138,9.19612342615305,15.6233762582
"46",18.4968520955978,9.12498070418292,27.8687234870126,9.37187139141485,15.6233762582
"47",18.6093770491865,9.06421289288852,28.1545412054844,9.54516415629794,16.4735927571
"48",18.6965207772421,8.97729612194214,28.415745432542,9.71922465529995,17.2104470561
"49",18.6616066761271,8.77025012082445,28.5529632314298,9.89135655530267,17.8490541153
"50",18.7048171583001,8.64608857682412,28.763545739776,10.058728581476,18.4025135666
"51",18.8115468079047,8.59054386777048,29.032549748039,10.2210029401342,18.7488450911
"52",18.9475648210972,8.56909070819658,29.3260389339979,10.3784741129007,18.7488450911
"53",19.0621100804542,8.53082594642478,29.5933942144837,10.5312841340295,18.7488450911
"54",19.2804557977989,8.60320496257358,29.9577066330243,10.6772508352253,18.7488450911
"55",19.3903631468165,8.57141018219544,30.2093161114376,10.8189529646211,19.0489990789
"56",19.4415367985249,8.48455249664127,30.3985211004085,10.9569843018836,19.3091325351
"57",19.5067080588153,8.41748352133267,30.5959325962978,11.0892245374826,19.3091325351
"58",19.6657041692305,8.45039987481475,30.8810084636463,11.2153042944158,19.5345815304
"59",19.8652686796858,8.52775972783099,31.2027776315406,11.3375089518548,19.5345815304
"60",20.001375325042,8.54526143790741,31.4574892121766,11.4561138871346,19.5345815304
"61",20.1136271173439,8.54426370613933,31.6829905285485,11.5693634112046,19.7299706597
"62",20.1798748576142,8.50094773149552,31.858801983733,11.6789271261187,17.099307905
"63",20.2614737584367,8.4747196546228,32.0482278622505,11.7867541038139,17.2194001844
