"","sampleObjTimeseries.fcst","sampleObjTimeseries.lower","sampleObjTimeseries.upper","sampleObjTimeseries.CI","V5"
"1",22.182621547809,21.839927269104,22.5253158265141,0.342694278705042,22.2664045077
"2",21.9563036199971,21.3386665826411,22.5739406573531,0.617637037356048,22.36421724
"3",21.8393457473307,20.9724276396472,22.7062638550143,0.866918107683548,22.36421724
"4",22.0268191429992,20.9162615051358,23.1373767808627,1.11055763786345,22.36421724
"5",22.1615162645469,20.8180969795038,23.5049355495901,1.34341928504315,22.4489882747
"6",22.0990442416514,20.5594017767065,23.6386867065963,1.53964246494493,22.3891231714
"7",22.1732824094869,20.4436823107378,23.9028825082359,1.72960009874902,22.4705734152
"8",22.1793358357327,20.2406684083781,24.1180032630872,1.93866742735454,22.5411636265
"9",22.0905881828347,19.9334927180862,24.2476836475833,2.15709546474856,22.735675143
"10",22.1049477313174,19.7309336109006,24.4789618517341,2.37401412041675,22.735675143
"11",22.2983060209997,19.7000503913084,24.8965616506909,2.59825562969127,22.735675143
"12",22.485613216918,19.6619196933629,25.3093067404731,2.82369352355509,22.9042517906
"13",22.6524987681191,19.6042842237928,25.7007133124454,3.04821454432632,22.9170182185
"14",22.7640298711172,19.4903355596352,26.0377241825991,3.27369431148197,22.928082456
"15",22.7774044242188,19.2726722426273,26.2821366058103,3.50473218159153,22.9376714619
"16",22.8778364038475,19.1312424901534,26.6244303175416,3.74659391369408,22.9459819336
"17",23.0082594883671,19.0179366909721,26.9985822857621,3.99032279739502,22.9459819336
"18",23.1882011890328,18.9588126569314,27.4175897211342,4.22938853210144,22.9459819336
"19",23.3492260580372,18.8755227266,27.8229293894743,4.47370333143716,22.9531843425
"20",23.4636357786086,18.7446683531077,28.1826032041096,4.71896742550095,22.9594264302
"21",23.5218306357436,18.5656498013781,28.478011470109,4.95618083436545,22.9648362395
"22",23.5621240773537,18.3683359753902,28.7559121793172,5.19378810196349,22.9648362395
"23",23.6968855138326,18.2564223292803,29.1373486983849,5.44046318455231,22.9695247409
"24",23.8317146600506,18.1359079330074,29.5275213870937,5.69580672704312,22.9695247409
"25",23.9096149413977,17.9510234579934,29.868206424802,5.95859148340428,22.9695247409
"26",23.9868641795169,17.7674168924251,30.2063114666087,6.21944728709179,22.9735881088
"27",24.0986656502332,17.6192273335873,30.5781039668791,6.47943831664592,19.9104430276
"28",24.1651149776424,17.4322216768712,30.8980082784136,6.73289330077121,20.3223839572
"29",24.2215600711234,17.2392542075371,31.2038659347098,6.98230586358633,20.6793994296
"30",24.4015756812463,17.1768601640227,31.6262911984698,7.22471551722352,20.988812839
"31",24.606434990938,17.1463493245078,32.0665206573682,7.46008566643019,20.988812839
"32",24.7304449162271,17.0403403573498,32.4205494751044,7.6901045588773,20.988812839
"33",24.7636643198208,16.8502848185865,32.6770438210552,7.91337950123437,21.2569711271
"34",24.7683234520252,16.635115212105,32.9015316919454,8.13320823992017,21.3560416435
"35",24.7600436806945,16.4116542159052,33.1084331454838,8.34838946478933,21.575236091
"36",24.6853797968776,16.1278295828701,33.2429300108851,8.55755021400745,21.6318712789
"37",24.7304400037839,15.9647858347738,33.496094172794,8.76565416901011,21.6809551084
"38",24.8078289924424,15.8327294783762,33.7829285065086,8.97509951406622,21.6809551084
"39",24.786656782514,15.6059059806007,33.9674075844272,9.18075080191327,21.6809551084
"40",24.7169987597061,15.3364656917946,34.0975318276176,9.38053306791149,21.7234944273
"41",24.6594185003187,15.0807319266262,34.2381050740112,9.57868657369248,21.8936951703
"42",24.5229411424115,14.7502167601767,34.2956655246463,9.7727243822348,21.8936951703
"43",24.3797104109552,14.4247438965794,34.334676925331,9.95496651437582,22.0412024809
"44",24.3542135450304,14.2256563046062,34.4827707854547,10.1285572404242,22.1690421501
"45",24.3741038177057,14.0808423469874,34.667365288424,10.2932614707183,22.1690421501
"46",24.2543257320105,13.8043878419243,34.7042636220967,10.4499378900862,22.1690421501
"47",24.0910036848898,13.4918474065135,34.6901599632662,10.5991562783763,22.2798365301
"48",23.9280654382258,13.1809797090054,34.6751511674462,10.7470857292204,22.1091916594
"49",23.718867212963,12.8269694334707,34.6107649924552,10.8918977794922,22.0946327715
"50",23.558553738844,12.5303448648737,34.5867626128144,11.0282088739703,22.0820150686
"51",23.4720341745131,12.3152884546028,34.6287798944234,11.1567457199103,22.0710797262
"52",23.3428545841768,12.0644951824315,34.6212139859222,11.2783594017454,22.0710797262
"53",23.1803967646085,11.7847555508706,34.5760379783464,11.3956412137379,22.0710797262
"54",23.018754720905,11.511595906643,34.5259135351669,11.507158814262,22.0710797262
"55",22.845932162777,11.2305785134438,34.4612858121102,11.6153536493332,21.928269096
"56",22.6524132424066,10.9312615480898,34.3735649367234,11.7211516943168,21.8044998832
"57",22.4568202264451,10.6345541219365,34.2790863309536,11.8222661045086,21.8044998832
"58",22.3290662270102,10.4114059711482,34.2467264828723,11.9176602558621,21.5638998988
"59",22.2419941057944,10.23168383101,34.2523043805788,12.0103102747844,21.5638998988
"60",22.1040443206403,10.0040188481703,34.2040697931103,12.10002547247,21.5638998988
"61",21.9308674398082,9.74473683953395,34.1169980400824,12.1861306002742,21.4887132456
"62",21.76573667823,9.49561431474897,34.0358590417109,12.270122363481,21.5568848129
"63",21.6068523980966,9.2537353630233,33.9599694331699,12.3531170350733,21.4826335045
"64",21.4742343221431,9.04150542357918,33.9069632207071,12.4327288985639,21.5516157039
"65",21.3959234365783,8.88719565021636,33.9046512229402,12.5087277863619,21.4780669434
