"","sampleObjTimeseries.sampleObjTimeseries.fcst","sampleObjTimeseries.sampleObjTimeseries.lower","sampleObjTimeseries.sampleObjTimeseries.upper","sampleObjTimeseries.sampleObjTimeseries.CI","V5"
"1",11.2130403551288,11.1135476885987,11.3125330216589,0.0994926665301025,11.2001342246
"2",11.2116559662781,11.0307482809641,11.3925636515921,0.180907685314013,11.2147829947
"3",11.1944680239011,10.9200444358275,11.4688916119748,0.274423588073631,11.2399914159
"4",11.2130640961621,10.8333212452279,11.5928069470963,0.379742850934176,11.1892046817
"5",11.2178606469482,10.7187704799,11.7169508139964,0.49909016704821,11.1990885019
"6",11.2017645941995,10.5749722748227,11.8285569135763,0.626792319376832,11.3083528921
"7",11.2094581263217,10.452535194607,11.9663810580363,0.756922931714612,11.3749314809
"8",11.2683488414805,10.3759357057166,12.1607619772443,0.892413135763865,11.4171183945
"9",11.3033387067982,10.2720366229377,12.3346407906587,1.03130208386054,11.4253756245
"10",11.3161797318133,10.1428117777431,12.4895476858835,1.17336795407017,11.4458212677
"11",11.371087029428,10.0520572647218,12.6901167941341,1.31902976470617,11.3644525061
"12",11.4330119357713,9.96532143688402,12.9007024346585,1.46769049888724,11.4949015736
"13",11.5039757987629,9.88722587549417,13.1207257220315,1.61674992326868,11.5530099353
"14",11.5855199519659,9.82130360698118,13.3497362969506,1.76421634498473,11.6138611358
"15",11.6940945576115,9.7816569724495,13.6065321427735,1.91243758516198,11.6868870584
"16",11.7708989498341,9.71088699191816,13.8309109077501,2.06001195791598,11.6676354506
"17",11.8439172446552,9.63571865185703,14.0521158374534,2.20819859279817,11.6871359091
"18",11.9580663366202,9.60208543115981,14.3140472420805,2.35598090546036,11.8029251953
"19",12.0571001657594,9.55328732710143,14.5609130044174,2.50381283865799,11.8575437162
"20",12.1334671151607,9.48248915629948,14.784445074022,2.65097795886125,11.827109316
"21",12.2331527229424,9.43665706133246,15.0296483845524,2.79649566160998,11.7962220132
"22",12.3392660491426,9.39718606765048,15.2813460306348,2.94207998149216,11.8208469569
"23",12.4169115761165,9.32921188132427,15.5046112709086,3.08769969479218,11.752357961
"24",12.4572077831801,9.22441808533879,15.6899974810214,3.2327896978413,11.7160806032
"25",12.5246675641197,9.14724681888374,15.9020883093557,3.37742074523598,11.6628254117
"26",12.5937643788412,9.07112724465311,16.1164015130292,3.52263713418805,11.6210836107
"27",12.6429636335588,8.97691378520336,16.3090134819142,3.66604984835541,11.624656301
"28",12.7005397232438,8.89432687709432,16.5067525693933,3.80621284614948,11.5860525549
"29",12.7683468313474,8.82225680866119,16.7144368540336,3.94609002268621,11.6088011031
"30",12.8088152501598,8.72430512908197,16.8933253712375,4.08451012107778,11.5740403211
"31",12.8424338850547,8.62222541604598,17.0626423540634,4.22020846900871,11.5504539926
"32",12.898072093961,8.54409509899732,17.2520490889247,4.35397699496369,11.384516917
"33",12.9130749546633,8.42582798077244,17.4003219285542,4.48724697389085,11.3272992768
"34",12.9051881611075,8.28648121909234,17.5238951031226,4.61870694201514,11.3116593733
"35",12.9081236536651,8.16008450423753,17.6561628030927,4.74803914942759,11.3206347047
"36",12.9268537740713,8.05151921893063,17.802188329212,4.87533455514071,11.273115734
"37",12.9255271404279,7.92620954390701,17.9248447369488,4.99931759652089,11.2680165421
"38",12.9037073388173,7.78439180673889,18.0230228708957,5.11931553207842,11.1952439661
"39",12.8962786783105,7.66117062490807,18.1313867317129,5.2351080534024,11.1632114373
"40",12.8749176469408,7.52843073469655,18.221404559185,5.34648691224421,11.1808573197
"41",12.8337238122643,7.38059168782099,18.2868559367077,5.45313212444334,11.1456660873
"42",12.8005647591223,7.24622312327839,18.3549063949661,5.55434163584387,11.0649994979
"43",12.7674838621995,7.11560769466718,18.4193600297318,5.65187616753232,11.021094803
"44",12.7228218932843,6.97750521312063,18.468138573448,5.74531668016367,11.0865043848
"45",12.6785021958849,6.84355316469049,18.5134512270794,5.83494903119444,11.1580223187
"46",12.6505883407796,6.72961373721922,18.57156294434,5.92097460356037,11.0800082317
"47",12.6115782648796,6.60742540975945,18.6157311199997,6.00415285512013,11.1205849119
"48",12.547055946092,6.46229616156143,18.6318157306226,6.0847597845306,11.2019390225
"49",12.4889115538887,6.32636410831225,18.6514589994651,6.16254744557642,11.2489027083
"50",12.4407904219458,6.20285778723746,18.6787230566542,6.23793263470837,11.240125937
"51",12.3832532275924,6.07232653778926,18.6941799173955,6.31092668980311,11.2853591454
"52",12.3193145774127,5.93783894228692,18.7007902125385,6.38147563512578,11.2686104046
"53",12.2704473928002,5.82058461199388,18.7203101736065,6.44986278080631,11.2377401285
"54",12.2153266104048,5.69884864319089,18.7318045776186,6.51647796721386,11.222874778
"55",12.1443890371923,5.5632258373673,18.7255522370174,6.58116319982505,11.2324470298
"56",12.0799064555319,5.43588677967808,18.7239261313856,6.64401967585378,11.2566022407
"57",12.0244675688889,5.31894641531441,18.7299887224634,6.70552115357451,11.2094313436
"58",11.9602739032034,5.19477582483847,18.7257719815682,6.76549807836489,11.21006272
"59",11.8984410842597,5.07458920990257,18.7222929586167,6.82385187435709,11.1694887008
"60",11.8539676862093,4.97343315250706,18.7345022199116,6.88053453370228,11.0894457629
"61",11.8041192646072,4.86848033021662,18.7397581989978,6.93563893439057,11.0595937353
"62",11.7448816795581,4.75568527967064,18.7340780794456,6.98919639988749,11.007721978
"63",11.6975217841371,4.65628419511866,18.7387593731555,7.04123758901841,10.8936822799
"64",11.6582820618278,4.5664978865794,18.7500662370762,7.09178417524841,10.7003764944
