"","ArrivalcData.fcst","ArrivalcData.lower","ArrivalcData.upper","ArrivalcData.CI","V5"
"64",9638.99628154191,6391.98729591051,12886.0052671733,3247.0089856314,6991.51369274
"65",9536.09243183584,6268.38457222974,12803.8002914419,3267.7078596061,6939.75186704
"66",9541.83344168604,6255.35996760499,12828.3069157671,3286.47347408105,6922.4516181
"67",9576.0920003126,6271.43831682415,12880.7456838011,3304.65368348845,6580.29806902
"68",9513.75515030693,6192.16042633493,12835.3498742789,3321.594723972,7988.35165982
"69",9513.37775031073,6177.3071892568,12849.4483113647,3336.07056105393,8465.79810518
"70",9613.79093361636,6262.88721692995,12964.6946503028,3350.90371668641,8910.86502449
"71",9615.96602899296,6247.22524152382,12984.7068164621,3368.74078746914,9071.00302122
"72",9531.41680735092,6143.63704405525,12919.1965706466,3387.77976329567,9018.10928506
"73",9539.25333949005,6133.13841663313,12945.368262347,3406.11492285692,8659.61471372
"74",9561.59839644541,6137.22004603101,12985.9767468598,3424.3783504144,8529.55941856
"75",9487.06852213822,6045.0646996851,12929.0723445913,3442.00382245313,8218.39149608
"76",9470.59221533638,6012.8853884595,12928.2990422133,3457.70682687688,7574.11262994
"77",9544.92250378191,6071.202189939,13018.6428176248,3473.72031384291,7714.23094595
"78",9532.33041950691,6040.02616874921,13024.6346702646,3492.3042507577,7689.68015315
"79",9452.20764420743,5940.34595894174,12964.0693294731,3511.86168526569,7562.93613273
"80",9465.02044348655,5934.17597966897,12995.8649073041,3530.84446381758,7223.10464837
"81",9489.80053301498,5939.72355203659,13039.8775139934,3550.07698097839,7184.66402859
"82",9430.54856378663,5861.95400957877,12999.1431179945,3568.59455420786,7847.50882477
"83",9419.37165167512,5834.16472791345,13004.5785754368,3585.20692376167,7671.54764814
"84",9479.29679584614,5877.31863243893,13081.2749592534,3601.97816340721,7283.98129505
"85",9458.8704590608,5838.24672005924,13079.4941980624,3620.62373900156,7772.09045571
"86",9381.96845552484,5742.63888872877,13021.2980223209,3639.32956679607,7617.74506162
"87",9383.82479567907,5726.66089213917,13040.988699219,3657.16390353991,7111.91238673
"88",9396.95366471856,5721.99451167319,13071.9128177639,3674.95915304536,6814.37740184
"89",9344.12189598677,5652.17770920756,13036.066082766,3691.94418677922,6801.71374826
"90",9339.45491664676,5632.09242255856,13046.817410735,3707.3624940882,6433.71191516
"91",9397.23687107297,5674.21312863675,13120.2606135092,3723.02374243622,5956.89699314
"92",9381.54790352399,5641.34126539059,13121.7545416574,3740.20663813339,5709.36406072
"93",9313.10972439318,5555.49091839961,13070.7285303867,3757.61880599357,5881.43551929
"94",9311.42021139516,5536.83001714219,13086.0104056481,3774.59019425298,5445.61745005
"95",9315.14484956576,5523.53313364366,13106.7565654878,3791.61171592209,5846.24179004
"96",9257.2537652931,5449.31618256799,13065.1913480182,3807.93758272511,6120.07621804
