"","objSampleTimeSeries..i...fcst","objSampleTimeSeries..i...lower","objSampleTimeSeries..i...upper","objSampleTimeSeries..i...CI","V5"
"1",10.4841313600768,10.2561390785977,10.712123641556,0.227992281479155,10.537819912
"2",10.3851920155281,9.98575367504317,10.784630356013,0.399438340484917,10.532777257
"3",10.3340673025797,9.75440973256894,10.9137248725904,0.579657570010718,10.6199221076
"4",10.4395294584045,9.68566781395238,11.1933911028565,0.75386164445208,10.5861547155
"5",10.4544562756477,9.54101772694927,11.3678948243462,0.913438548698462,10.7013340868
"6",10.4469679695536,9.38054223846767,11.5133937006395,1.06642573108594,10.7970536444
"7",10.4660305363893,9.24463646496809,11.6874246078106,1.22139407142125,10.8200347271
"8",10.4767046855679,9.09414673428769,11.8592626368482,1.38255795128023,10.8729467635
"9",10.5157348185676,8.97612021204232,12.055349425093,1.53961460652532,10.8331692463
"10",10.4996822379345,8.80444465444054,12.1949198214284,1.69523758349392,10.8320800135
"11",10.6565709352769,8.80494476226211,12.5081971082916,1.85162617301475,10.688069345
"12",10.7684739037954,8.76346746323982,12.7734803443509,2.00500644055554,10.531660099
"13",10.8606447300778,8.704092976864,13.0171964832916,2.15655175321378,10.442994308
"14",10.9528564957767,8.6491120154925,13.2566009760609,2.30374448028418,10.2860117336
"15",10.9832303074441,8.53008570716974,13.4363749077184,2.45314460027433,10.1218027617
"16",10.9750488623036,8.37293170700107,13.5771660176062,2.60211715530257,9.9155623935
"17",10.9334814376819,8.18780683222449,13.6791560431392,2.74567460545737,9.8524874077
"18",11.0484026514697,8.16235846524169,13.9344468376977,2.88604418622799,9.8225557533
"19",11.0726898571313,8.05131346550726,14.0940662487553,3.02137639162403,9.8568816529
"20",11.1241699793164,7.97369466339314,14.2746452952396,3.15047531592322,9.754751978
"21",11.1430168920304,7.8659449268474,14.4200888572133,3.27707196518297,9.6400350476
"22",11.1496963336742,7.74315621029962,14.5562364570489,3.40654012337462,9.6575859301
"23",11.1978647065614,7.6635650023793,14.7321644107434,3.53429970418207,9.6015441697
"24",11.1646829828357,7.50790578799623,14.8214601776752,3.65677719483947,9.5348382804
"25",11.2006888138054,7.42400389500747,14.9773737326034,3.77668491879795,9.4981931764
"26",11.1452045242501,7.25193505519562,15.0384739933045,3.89326946905444,9.4731896418
"27",11.1635072601187,7.15358828140735,15.17342623883,4.00991897871134,9.361526261
"28",11.1129288526565,6.99139866808849,15.2344590372246,4.12153018456805,9.3067773049
"29",11.121797510963,6.88738566962182,15.3562093523041,4.23441184134115,9.2458736643
"30",11.0918065946609,6.74678715442091,15.4368260349009,4.34501944024002,9.1102333662
"31",11.0017429981832,6.54787922131671,15.4556067750497,4.45386377686648,9.095535584
"32",11.0418873473134,6.47894613554002,15.6048285590868,4.5629412117734,9.0340197284
"33",11.0082356854473,6.33664082018023,15.6798305507143,4.67159486526706,8.9146119697
"34",10.9328725080247,6.15347438414628,15.712270631903,4.77939812387837,8.8269794966
"35",10.8037199395059,5.9197973557822,15.6876425232295,4.88392258372366,8.723018594
"36",10.7216402197553,5.73208609461389,15.7111943448967,4.9895541251414,8.6308827815
"37",10.6533559565826,5.56391434497034,15.7427975681948,5.08944161161225,8.5775984106
"38",10.6226664252733,5.44005658082782,15.8052762697189,5.18260984444552,8.4505852892
"39",10.6399601009747,5.36800429450523,15.9119159074441,5.27195580646945,8.4790072506
"40",10.5840756560801,5.22444466805425,15.9437066441059,5.35963098802584,8.7008539029
"41",10.5389647408249,5.09210044824573,15.985829033404,5.44686429257916,8.5923590968
"42",10.4784562588969,4.94279481326851,16.0141177045253,5.53566144562839,8.5133778839
"43",10.4250084347183,4.79816933362428,16.0518475358122,5.62683910109398,8.3258798803
"44",10.3671095564327,4.64918370632912,16.0850354065363,5.71792585010357,8.4824292296
"45",10.2963845918954,4.48758783358708,16.1051813502038,5.80879675830836,8.732771999
"46",10.2243588430978,4.32649603824096,16.1222216479547,5.89786280485686,8.6980690658
"47",10.1585985655346,4.17258964895176,16.1446074821175,5.98600891658285,8.8002312856
"48",10.1130507547793,4.04138497838664,16.184716531172,6.0716657763927,8.9518194952
"49",10.0552926773383,3.8999015467189,16.2106838079577,6.1553911306194,9.1235768958
"50",9.98978454321874,3.75260728346543,16.226961802972,6.2371772597533,9.282766643
"51",9.93633410085524,3.61759280080162,16.2550754009089,6.31874130005361,9.2164929954
"52",9.90104437929486,3.50164016332822,16.3004485952615,6.39940421596665,9.2502939293
"53",9.92426225396951,3.44711441402018,16.4014100939188,6.47714783994933,9.2690426175
"54",9.91143579751895,3.35788592464373,16.4649856703942,6.55354987287522,9.2000036019
"55",9.90164519697361,3.27363649087345,16.5296539030738,6.62800870610016,9.1325031216
"56",9.8517785348683,3.15107460235861,16.552482467378,6.7007039325097,9.1303598483
"57",9.80235561926309,3.02936531483976,16.5753459236864,6.77299030442333,9.1181906564
"58",9.76951799207158,2.9256061652761,16.6134298188671,6.84391182679548,9.0684925083
"59",9.71326924953791,2.80049518125731,16.6260433178185,6.91277406828059,8.9818046183
"60",9.69433370660906,2.71452445393355,16.6741429592846,6.97980925267552,8.9754101563
"61",9.65158908844509,2.60644040092441,16.6967377759658,7.04514868752068,8.9722126117
"62",9.62965220121274,2.52013441550098,16.7391699869245,7.10951778571176,8.8244666164
"63",9.57655933833196,2.40402925120477,16.7490894254592,7.17253008712719,8.5707282104
"64",9.55266677626731,2.317147447145,16.7881861053896,7.23551932912231,8.4182977824
"65",9.53542669892267,2.23807018409734,16.832783213748,7.29735651482533,8.2147469669
