"","objSampleTimeSeries..i...fcst","objSampleTimeSeries..i...lower","objSampleTimeSeries..i...upper","objSampleTimeSeries..i...CI","V5"
"1",3911.7557490452,3404.13619634245,4419.37530174796,507.619552702753,3718.41245942
"2",3728.71160789728,2963.78719296507,4493.63602282949,764.924414932214,3481.2241315
"3",3753.09702123584,2774.11307021581,4732.08097225588,978.98395102004,3644.24758063
"4",4020.76680914371,2866.63101943775,5174.90259884966,1154.13578970595,3665.06790321
"5",4295.38830987755,2979.24509236316,5611.53152739194,1316.14321751439,3932.16551612
"6",4470.65042857994,3033.37864644207,5907.9222107178,1437.27178213787,3781.73011397
"7",4621.22968852556,3092.17365212567,6150.28572492546,1529.0560363999,4219.20609877
"8",4750.65029637377,3131.30874334109,6369.99184940646,1619.34155303269,4518.15195227
"9",4624.90788656529,2936.3697880407,6313.44598508987,1688.53809852458,5313.5050253
"10",4391.61032238244,2651.56275151901,6131.65789324586,1740.04757086342,5941.77102193
"11",4506.66559763126,2725.68968754327,6287.64150771926,1780.97591008799,5889.17488567
"12",4658.6036286194,2841.33828752076,6475.86896971804,1817.26534109864,7397.80490091
"13",4536.75654032935,2689.02760424624,6384.48547641246,1847.72893608311,7096.29758079
"14",4672.8452267402,2797.05901091225,6548.63144256815,1875.78621582795,7189.99123669
"15",4913.92391122297,3002.56054520396,6825.28727724198,1911.36336601901,7663.3390718
"16",4697.84532579246,2751.98135999088,6643.70929159403,1945.86396580158,7544.34719556
"17",4475.30665852951,2497.2872464722,6453.32607058683,1978.01941205731,7086.86090281
"18",4584.21424555282,2578.03644654231,6590.39204456334,2006.17779901052,6607.85278244
"19",4726.56343112079,2695.57436435662,6757.55249788497,2030.98906676418,6536.47241145
"20",4826.83642753127,2769.81091695598,6883.86193810656,2057.02551057529,6122.79608992
"21",4991.3132919038,2910.19018452396,7072.43639928363,2081.12310737983,6388.6899446
"22",5112.05267104234,2999.45139445566,7224.65394762903,2112.60127658668,5699.61128532
"23",5024.72464482938,2876.09792785765,7173.3513618011,2148.62671697173,5716.60978061
"24",4675.63040368452,2493.13577650229,6858.12503086675,2182.49462718223,5362.86180986
"25",4819.88298759529,2604.05639775988,7035.7095774307,2215.82658983541,5230.16023521
"26",4904.73927684205,2657.81781697277,7151.66073671132,2246.92145986928,5911.43220385
"27",4850.13172359435,2577.09578157897,7123.16766560974,2273.03594201538,6019.32124334
"28",4873.59558719188,2574.02477901961,7173.16639536415,2299.57080817227,6072.03841089
"29",4855.01020977115,2515.95166493102,7194.06875461128,2339.05854484013,6166.29995611
"30",4749.94463551261,2373.61726406287,7126.27200696236,2376.32737144974,6140.96662863
"31",4601.48633901378,2189.18268811977,7013.78998990778,2412.30365089401,5884.26441148
"32",4764.78398716759,2316.86707722188,7212.70089711331,2447.91690994572,5597.94915661
"33",4973.56997307638,2493.43830430352,7453.70164184923,2480.13166877285,5875.27593573
"34",5041.02599076504,2535.21047050136,7546.84151102873,2505.81552026368,6080.85247763
"35",5059.86009542814,2534.07657401333,7585.64361684294,2525.7835214148,5990.75214728
"36",5326.59398983193,2773.62821706154,7879.55976260232,2552.96577277039,5954.63852764
"37",5237.82459366183,2663.54154183454,7812.10764548913,2574.2830518273,6035.54005729
"38",5025.93927674167,2434.99947400207,7616.87907948126,2590.93980273959,5485.33471632
"39",5168.44202170425,2562.07114933789,7774.8128940706,2606.37087236636,5027.58342081
"40",5140.92368685028,2520.45435318579,7761.39302051476,2620.46933366448,4674.6789647
"41",5153.07390759165,2521.64354530734,7784.50426987597,2631.43036228432,4168.76176941
"42",5199.47884235541,2556.61393861081,7842.34374610001,2642.8649037446,3660.56686682
"43",5168.02365498445,2509.63142527627,7826.41588469263,2658.39222970818,3366.30461791
"44",4912.63007569303,2237.42174232029,7587.83840906576,2675.20833337273,2935.13066886
"45",4649.0797930678,1958.08741682701,7340.07216930859,2690.99237624079,2638.80657968
"46",4700.49576714679,1994.75013831165,7406.24139598194,2705.74562883515,2540.27236905
"47",4855.60047251216,2133.13608736967,7578.06485765465,2722.46438514249,2467.96938651
"48",4948.10446600875,2212.1605566996,7684.04837531789,2735.94390930915,2718.53346831
"49",5027.88820646238,2278.23765100073,7777.53876192402,2749.65055546165,3176.27567254
"50",5207.81953767245,2436.31510223816,7979.32397310675,2771.50443543429,3442.1189162
"51",5094.32309727756,2301.14086518633,7887.5053293688,2793.18223209124,3875.72972737
"52",4995.19830123986,2184.57545548054,7805.82114699918,2810.62284575932,3925.53909706
"53",5108.62217865622,2283.56047124271,7933.68388606973,2825.06170741351,3968.76055078
"54",5216.69042588996,2379.64922227813,8053.7316295018,2837.04120361184,3751.80581068
"55",5205.64257735818,2360.29591720559,8050.98923751076,2845.34666015259,4332.25836925
"56",5216.4970577665,2364.30002663614,8068.69408889686,2852.19703113036,4512.83725335
"57",5255.4875513057,2393.78412920611,8117.1909734053,2861.7034220996,4608.13895291
"58",5136.26488408275,2264.7681127782,8007.76165538729,2871.49677130455,4906.02709252
"59",4880.82712665286,2000.88739457403,7760.76685873169,2879.93973207883,4631.18348018
"60",4980.0974283279,2091.55102177172,7868.64383488408,2888.54640655618,4552.59901616
"61",5092.89882108374,2195.48894453195,7990.30869763552,2897.40987655178,4799.065814
"62",5075.4937158068,2171.00345615908,7979.98397545452,2904.49025964772,4937.64370547
"63",5156.77047046655,2245.19640528631,8068.3445356468,2911.57406518024,4980.27787807
"64",5272.72653468591,2350.23047026606,8195.22259910576,2922.49606441985,4923.38749433
"65",5155.42799305947,2221.63666254269,8089.21932357625,2933.79133051678,4928.24249509
"66",4993.02215372124,2048.73242381213,7937.31188363034,2944.28972990911,5562.33016241
"67",5078.97319569158,2124.34399806912,8033.60239331404,2954.62919762246,5080.08614075
"68",5136.68094469511,2172.02729885952,8101.3345905307,2964.65364583559,5076.87465532
"69",5158.15164931273,2185.06236324233,8131.24093538312,2973.08928607039,4865.17136794
"70",5155.55678600275,2175.03828630985,8136.07528569565,2980.5184996929,4703.96185222
"71",5241.11445009002,2249.67951858284,8232.54938159721,2991.43493150718,4648.12693859
"72",5115.37591908213,2112.29825337816,8118.45358478609,3003.07766570397,4230.85668011
"73",4911.72565884256,1898.49224429823,7924.95907338689,3013.23341454433,4054.8224561
"74",5000.59149751317,1977.13296389868,8024.05003112766,3023.45853361449,3783.04612862
"75",5064.58966729399,2030.96001747482,8098.21931711315,3033.62964981916,4089.6266448
"76",5096.93237622658,2055.12135364689,8138.74339880627,3041.81102257969,4161.98309216
"77",5139.541043952,2089.80256432434,8189.27952357967,3049.73847962767,4308.70534654
"78",5231.08023513517,2169.70869034948,8292.45177992085,3061.37154478569,3787.117967
"79",5146.946315662,2073.39682524252,8220.49580608148,3073.54949041948,3808.80890473
"80",5041.3213390819,1957.1210695043,8125.52160865951,3084.20026957761,3630.92771744
"81",5126.91965269046,2033.0574875591,8220.78181782182,3093.86216513136,3561.71068844
"82",5237.93197793192,2134.77095593298,8341.09299993086,3103.16102199894,3886.82926332
"83",5235.54513805633,2125.12418550323,8345.96609060943,3110.4209525531,3587.39869488
"84",5225.33145707855,2108.29267125803,8342.37024289907,3117.03878582052,3962.03886889
"85",5308.66760339362,2182.06782399109,8435.26738279615,3126.59977940253,4085.43368637
"86",5169.1879581753,2032.68724050949,8305.68867584111,3136.50071766581,4202.34919486
"87",5008.73864928829,1863.29318422583,8154.18411435074,3145.44546506245,3907.60930221
"88",5058.79091173186,1904.60762723781,8212.97419622591,3154.18328449405,3648.52806191
"89",5103.2905244999,1939.99793998911,8266.58310901069,3163.29258451079,3973.09765366
"90",5086.18478291337,1915.11735445531,8257.25221137142,3171.06742845805,3961.23129984
"91",5117.83806645726,1939.11983402754,8296.55629888697,3178.71823242971,4365.09379319
"92",5184.6834147468,1995.49497930393,8373.87185018966,3189.18843544287,4374.64128743
"93",5092.61225524067,1891.62428267511,8293.60022780623,3200.98797256556,4342.79578244
"94",4953.9257763059,1741.91027821079,8165.94127440102,3212.01549809511,3999.07634478
"95",5033.20995127733,1810.32004680148,8256.09985575319,3222.88990447586,3815.30616548
"96",5135.55523676752,1901.60177724106,8369.50869629399,3233.95345952647,3815.86534342
"97",5142.19028187209,1899.12078024045,8385.25978350373,3243.06950163164,3733.17663096
"98",5185.41644830732,1933.67753724352,8437.15535937113,3251.7389110638,3926.5664135
"99",5258.64888962005,1995.64946484083,8521.64831439927,3262.99942477922,4283.79755837
"100",5147.91566568937,1873.03150945495,8422.7998219238,3274.88415623443,4329.26455058
"101",5013.61973533282,1728.21982969235,8299.01964097329,3285.39990564047,4161.12261051
"102",5069.04877391858,1773.80582410282,8364.29172373433,3295.24294981575,3950.2129291
"103",5118.18695383119,1813.49484975473,8422.87905790766,3304.69210407647,4691.22453856
"104",5117.00909915305,1804.41973033107,8429.59846797504,3312.58936882199,4680.23460008
"105",5121.19884738923,1801.17861048651,8441.21908429196,3320.02023690273,5180.25665341
"106",5192.04822460343,1862.33191793232,8521.76453127453,3329.71630667111,5743.15576628
"107",5111.55596820846,1771.3108590225,8451.80107739443,3340.24510918597,5838.17499745
"108",4982.91836338533,1632.95797342971,8332.87875334096,3349.96038995563,5846.16499779
