"","RPcData.fcst","RPcData.lower","RPcData.upper","RPcData.CI","V5"
"1",22.3307400576147,22.1473567306672,22.5141233845622,0.183383326947506,22.3854584495
"2",22.298195713506,21.9617459630616,22.6346454639503,0.336449750444332,22.2007306562
"3",22.2685847281589,21.8188128509473,22.7183566053706,0.449771877211636,22.2007306562
"4",22.1989137041074,21.6549922585109,22.7428351497039,0.543921445596478,22.2007306562
"5",22.1141170474743,21.4796789609143,22.7485551340344,0.634438086560045,22.1739665687
"6",22.0185198518973,21.2981599309857,22.7388797728089,0.720359920911595,22.1507710262
"7",21.9428826661371,21.1370187357989,22.7487465964753,0.805863930338201,22.1306682227
"8",21.9663438694829,21.058512316153,22.8741754228129,0.907831553329923,22.113245793
"9",21.9618522571917,20.9492496177742,22.9744548966093,1.01260263941755,21.9648130206
"10",21.9657536416872,20.8575399799915,23.073967303383,1.10821366169574,21.9648130206
"11",21.9607311227493,20.766233826497,23.1552284190016,1.19449729625232,21.9648130206
"12",21.9208123913281,20.6405985494854,23.2010262331707,1.28021384184265,21.8361712845
"13",21.871678831501,20.5065300302758,23.2368276327262,1.36514880122521,21.7246817799
"14",21.8340548791389,20.3833149737685,23.2847947845093,1.45073990537042,21.6280575426
"15",21.8047100113589,20.2616973755638,23.347722647154,1.54301263579507,21.5443165369
"16",21.7711703971524,20.1335760600232,23.4087647342816,1.6375943371292,21.3384076653
"17",21.7458306571373,20.0155793986965,23.4760819155781,1.73025125844083,21.3384076653
"18",21.7206778005773,19.8974681444151,23.5438874567395,1.82320965616219,21.3384076653
"19",21.6811547089711,19.7657705628188,23.5965388551235,1.91538414615232,21.0266199766
"20",21.6180032499025,19.6111413105835,23.6248651892216,2.00686193931905,21.1564039797
"21",21.5388184274443,19.4386639395395,23.6389729153491,2.1001544879048,20.8688834491
"22",21.4740807179649,19.2760369750439,23.672124460886,2.19804374292106,20.6196989892
"23",21.3945374303528,19.0953558554798,23.6937190052259,2.29918157487303,20.403739124
"24",21.3066656254129,18.9031783614874,23.7101528893385,2.40348726392557,20.403739124
"25",21.234894831531,18.7230586713775,23.7467309916844,2.51183616015345,20.403739124
"26",21.144735373749,18.5213833683679,23.7680873791301,2.6233520053811,20.2165739075
"27",21.0452301673891,18.3078825933644,23.7825777414137,2.73734757402465,20.2165739075
"28",20.9300659718299,18.0784365097308,23.781695433929,2.85162946209907,20.1876973865
"29",20.8297595471539,17.8630004563939,23.7965186379138,2.96675909075998,20.1626710683
"30",20.7181033213328,17.6362168626448,23.7999897800208,3.08188645868802,19.8743149258
"31",20.6160313163589,17.4201823959349,23.811880236783,3.19584892042405,19.8743149258
"32",20.5309563087023,17.2223669800274,23.8395456373772,3.3085893286749,19.8743149258
"33",20.4453212343308,17.0258591838415,23.8647832848201,3.41946205048929,19.6244062691
"34",20.3420553243097,16.8140399833885,23.870070665231,3.52801534092127,19.5411520999
"35",20.2275594549631,16.5935409193685,23.8615779905577,3.63401853559461,19.4689984865
"36",20.1299499596186,16.3916281240339,23.8682717952033,3.7383218355847,19.2731320217
"37",20.0224978596555,16.181344173693,23.863651545618,3.8411536859625,19.2367144188
"38",19.9146411478251,15.9724808690612,23.856801426589,3.94216027876389,19.2367144188
"39",19.8200843784052,15.7787121587402,23.8614565980702,4.04137221966499,19.2367144188
"40",19.7326451371478,15.5939642614316,23.871326012864,4.13868087571619,19.0718191629
"41",19.6323296672225,15.398147128098,23.866512206347,4.23418253912451,18.9289099412
"42",19.5262844946077,15.1988168630275,23.8537521261878,4.32746763158013,18.8050552824
"43",19.4376611362972,15.0184488626792,23.8568734099152,4.419212273618,18.6977145781
"44",19.3459443741302,14.836175437878,23.8557133103825,4.50976893625226,18.6046859677
"45",19.2551063422117,14.6562789014002,23.8539337830232,4.5988274408115,18.6046859677
"46",19.1769982082892,14.4906491587166,23.8633472578619,4.68634904957265,18.6046859677
"47",19.1063564414689,14.3338709412645,23.8788419416732,4.77248550020435,18.524061172
"48",19.0267201638067,14.1692374864223,23.8842028411912,4.85748267738441,18.454186349
"49",18.94281190935,14.0016707503924,23.8839530683076,4.94114115895759,18.3936281692
"50",18.8689174231401,13.8449809491515,23.8928538971287,5.02393647398859,18.3411444133
"51",18.7922188169152,13.6862143754867,23.8982232583437,5.10600444142852,18.2956584915
"52",18.715153352119,13.5280359589231,23.902270745315,5.18711739319591,18.2956584915
"53",18.6483378198233,13.3811041649305,23.9155714747162,5.26723365489285,18.2956584915
"54",18.5849632278403,13.2385762579412,23.9313501977395,5.34638696989915,18.2562373593
"55",18.516283170058,13.0915434771417,23.9410228629743,5.42473969291628,18.2220723781
"56",18.4446676379257,12.942455250379,23.9468800254724,5.50221238754672,18.0591293943
"57",18.3819654912405,12.8029439009989,23.9609870814821,5.5790215902416,17.9179121417
"58",18.3130002479052,12.6578148151803,23.9681856806301,5.65518543272493,17.7955238562
"59",18.2433276584992,12.5128940121068,23.9737613048916,5.73043364639239,17.7955238562
"60",18.1834560356327,12.3786705872831,23.9882414839824,5.80478544834962,17.7955238562
"61",18.126953355589,12.2486638495932,24.0052428615848,5.8782895059958,17.7955238562
"62",18.0640865351464,12.1131006606921,24.0150724096007,5.95098587445428,17.6894540087
"63",17.9988329635684,11.9760228169657,24.0216431101712,6.02281014660279,16.9308601409
"64",17.9410931014021,11.8471528166435,24.0350333861607,6.0939402847586,16.2734121221
"65",17.8764331167288,11.7120255538828,24.0408406795749,6.16440756284603,15.7036238391
"66",17.8081835877701,11.5742091646922,24.0421580108479,6.23397442307785,15.7036238391
