"","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...fcst","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...lower","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...upper","sampleObjTimeseries.sampleObjTimeseries.sampleObjTimeseries.objSampleTimeSeries..i...CI","V5"
"1",22.2876797937335,21.9586702170846,22.6166893703824,0.329009576648917,22.2664045077
"2",22.2139748246758,21.6092214706797,22.8187281786718,0.604753353996069,22.36421724
"3",22.2398040872395,21.3685755224019,23.1110326520771,0.87122856483761,22.36421724
"4",22.3818841178538,21.2635382048975,23.50023003081,1.11834591295622,22.36421724
"5",22.4088529380962,21.0680118026355,23.7496940735569,1.34084113546071,22.4489882747
"6",22.3224175540439,20.7837164021505,23.8611187059374,1.53870115189343,22.3891231714
"7",22.3527871834202,20.6292393871769,24.0763349796635,1.72354779624329,22.4705734152
"8",22.3156802593009,20.394049004012,24.2373115145898,1.92163125528891,22.5411636265
"9",22.1921917761939,20.0638021151173,24.3205814372706,2.12838966107666,22.735675143
"10",22.2198884959896,19.8911369588197,24.5486400331596,2.32875153716994,22.735675143
"11",22.3486405042408,19.817672283816,24.8796087246656,2.53096822042479,22.735675143
"12",22.438388424926,19.7063131456244,25.1704637042275,2.73207527930153,22.9042517906
"13",22.4614360088424,19.5412714805328,25.381600537152,2.9201645283096,22.9170182185
"14",22.4806646943933,19.3789272483653,25.5824021404212,3.10173744602793,22.928082456
"15",22.3904223280643,19.1004147656526,25.680429890476,3.29000756241171,22.9376714619
"16",22.3384799992599,18.8496611562569,25.8272988422629,3.48881884300297,22.9459819336
"17",22.3305442921553,18.6476535411868,26.0134350431237,3.68289075096846,22.9459819336
"18",22.3917311367823,18.512527589052,26.2709346845126,3.87920354773031,22.9459819336
"19",22.4272680035335,18.3537868904713,26.5007491165958,4.07348111306228,22.9531843425
"20",22.3595507787658,18.0976729302367,26.621428627295,4.26187784852914,22.9594264302
"21",22.1828964225369,17.732967890997,26.6328249540769,4.44992853153994,22.9648362395
"22",22.0311846402965,17.3834609306361,26.6789083499569,4.64772370966043,22.9648362395
"23",21.9356503143889,17.0814355870997,26.7898650416781,4.85421472728922,22.9695247409
"24",21.8165012701066,16.7556497020818,26.8773528381315,5.06085156802486,22.9695247409
"25",21.6926527601965,16.4204024275543,26.9649030928388,5.27225033264224,22.9695247409
"26",21.6436077725872,16.1616773890129,27.1255381561616,5.48193038357435,22.9735881088
"27",21.5248496629148,15.8369271938408,27.2127721319888,5.68792246907398,19.9104430276
"28",21.2552134022528,15.3604224550056,27.1500043494999,5.89479094724714,20.3223839572
"29",21.0278269027234,14.9223210179524,27.1333327874944,6.10550588477103,20.6793994296
"30",20.9395761502422,14.6263917182501,27.2527605822344,6.31318443199214,20.988812839
"31",20.8345282686976,14.3196509674525,27.3494055699427,6.51487730124511,20.988812839
"32",20.7704423090478,14.0572586246071,27.4836259934885,6.71318368444067,20.988812839
"33",20.7659752291158,13.8574887963912,27.6744616618403,6.90848643272453,21.2569711271
"34",20.6835632372387,13.5832248416755,27.783901632802,7.10033839556328,21.3560416435
"35",20.4194996406749,13.1294259143125,27.7095733670373,7.29007372636237,21.575236091
"36",20.1776677663402,12.7007410602132,27.6545944724672,7.47692670612699,21.6318712789
"37",20.0901826876751,12.4308475111746,27.7495178641755,7.65933517650048,21.6809551084
"38",20.0730416954125,12.2367677477679,27.9093156430571,7.83627394764459,21.6809551084
"39",19.9633749397679,11.955106146415,27.9716437331208,8.00826879335288,21.6809551084
"40",19.910948970705,11.7334176623101,28.0884802791,8.17753130839494,21.7234944273
"41",19.83219403354,11.4839161691757,28.1804718979043,8.34827786436433,21.8936951703
"42",19.6697795229346,11.1471765760292,28.1923824698399,8.52260294690532,21.8936951703
"43",19.5170709442526,10.8229787333794,28.2111631551259,8.69409221087328,22.0412024809
"44",19.5451296651294,10.6835671014338,28.406692228825,8.86156256369561,22.1690421501
"45",19.5556749594977,10.5334185941487,28.5779313248467,9.02225636534898,22.1690421501
"46",19.5329619096378,10.3557756346738,28.7101481846019,9.17718627496404,22.1690421501
"47",19.5909622787526,10.2641050666166,28.9178194908887,9.32685721213607,22.2798365301
"48",19.6078313734908,10.1318332250567,29.0838295219248,9.47599814843405,22.1091916594
"49",19.4922691775149,9.86604264544904,29.1184957095807,9.62622653206584,22.0946327715
"50",19.4663647558902,9.69346469981926,29.2392648119611,9.77290005607091,22.0820150686
"51",19.5475294419886,9.6337744457844,29.4612844381927,9.91375499620417,22.0710797262
"52",19.6198448529156,9.57075094322071,29.6689387626105,10.0490939096949,22.0710797262
"53",19.6753192621381,9.49382009096877,29.8568184333075,10.1814991711694,22.0710797262
"54",19.7794353696837,9.47152313312657,30.0873476062409,10.3079122365571,22.0710797262
"55",19.8200806382555,9.38988665850556,30.2502746180054,10.4301939797499,21.928269096
"56",19.7822049437629,9.23002062052846,30.3343892669973,10.5521843232344,21.8044998832
"57",19.8111495046166,9.13958666294791,30.4827123462853,10.6715628416687,21.8044998832
"58",19.9079821213871,9.12113028486844,30.6948339579058,10.7868518365187,21.5638998988
"59",19.9947867599469,9.09586060175299,30.8937129181408,10.8989261581939,21.5638998988
"60",20.0708092629231,9.06336697823548,31.0782515476106,11.0074422846876,21.5638998988
"61",20.1570161915231,9.04621967506711,31.2678127079791,11.110796516456,21.4887132456
"62",20.1788686542835,8.96868844041627,31.3890488681506,11.2101802138672,21.5568848129
